date,high,low,open,close,volume,adjclose
06-03-2018,157.8899994,155.1600037,157.2799988,155.7200012,3586600,155.7200012
05-03-2018,157.4900055,153.75,154.1199951,156.9499969,3670600,156.9499969
02-03-2018,154.7599945,151.8800049,152.7899933,154.4900055,3261100,154.4900055
01-03-2018,156.9700012,152.7899933,155.5299988,153.8099976,4039300,153.8099976
28-02-2018,158.1399994,155.8000031,157.5,155.8300018,3803500,155.8300018
27-02-2018,159.7799988,156.5299988,158.4600067,156.5500031,4237300,156.5500031
26-02-2018,158.8800049,155.5099945,155.8099976,158.5800018,3610300,158.5800018
23-02-2018,155.8500061,154.0700073,154.3000031,155.5200043,3256100,155.5200043
22-02-2018,155.0399933,152.7899933,154.5,153.1799927,4024600,153.1799927
21-02-2018,156.7899933,153.8999939,155.4299927,153.9600067,3728600,153.9600067
20-02-2018,155.9600067,153.8699951,155.7899933,155.1600037,4489600,155.1600037
16-02-2018,157.7899933,155.6900024,155.7100067,156.1799927,4282900,156.1799927
15-02-2018,156.8600006,153.6999969,155.5,156.0099945,5623600,156.0099945
14-02-2018,155,150,150.1900024,154.7599945,5479000,154.7599945
13-02-2018,151.1799927,149.6399994,150.8999939,150.75,4891000,150.75
12-02-2018,152.3999939,150.3000031,150.8999939,151.3999939,5881400,151.3999939
09-02-2018,150.5399933,144.3999939,148.6000061,149.5099945,7828300,149.5099945
08-02-2018,153.1600037,147.5,152.4799957,147.5899963,6779100,147.5899963
07-02-2018,155.3399963,153.2799988,154.1699982,153.8500061,6149200,152.3500061
06-02-2018,155.4900055,149.1100006,150.2899933,155.3399963,9867700,153.82547
05-02-2018,158.5,150,157.8899994,152.5299988,8746600,151.0428619
02-02-2018,162,158.8699951,161.6999969,159.0299988,5251900,157.4794922
01-02-2018,164.1300049,161.8999939,163.1900024,162.3999939,4434200,160.8166351
31-01-2018,164.9900055,162.7599945,163.75,163.6999969,4072800,162.1039581
30-01-2018,166.7700043,163.1600037,166.2100067,163.6199951,4902300,162.0247345
29-01-2018,168.3899994,166.0099945,167.4499969,166.8000031,3517000,165.1737366
26-01-2018,167.4100037,165.7899933,166.1199951,167.3399963,3787900,165.7084656
25-01-2018,166.7799988,165.1900024,165.9100037,165.4700012,3302500,163.8567047
24-01-2018,168.7200012,164.8200073,166.75,165.3699951,5645000,163.7576752
23-01-2018,166.2599945,162.5099945,162.8200073,166.25,7466200,164.6291046
22-01-2018,163.9799957,161.1100006,161.5099945,162.6000061,8480800,161.0146942
19-01-2018,165.3999939,161.3000031,164.4600067,162.3699951,21172500,160.7869263
18-01-2018,171.1300049,168.1499939,170,169.1199951,14259300,167.4711151
17-01-2018,169.1300049,167.2599945,168.0099945,168.6499939,11710000,167.0056915
16-01-2018,165.2899933,163.3500061,165.1000061,163.8500061,7794200,162.2525024
12-01-2018,164.7400055,163.0299988,164.0200043,163.1399994,5031900,161.5494232
11-01-2018,164.9400024,163.3000031,164.8000031,164.1999969,3794500,162.5990906
10-01-2018,164.3300018,162.5,162.9100037,164.1799927,4174100,162.5792694
09-01-2018,164.5299988,163.0599976,163.8999939,163.8300018,4341800,162.2326965
08-01-2018,163.9100037,161.6999969,162.6600037,163.4700012,5237500,161.8762054
05-01-2018,162.8999939,161.1000061,162.4400024,162.4900055,5195800,160.9057617
04-01-2018,162.3200073,159.3699951,159.6499939,161.6999969,7556200,160.1234589
03-01-2018,159.8099976,156.3300018,157.3399963,158.4900055,9441600,156.9447632
02-01-2018,154.8099976,153.5399933,154.5,154.25,4202500,152.7460938
29-12-2017,154.7200012,153.4199982,154.1699982,153.4199982,3327100,151.9241943
28-12-2017,154.1199951,153.1999969,153.1999969,154.0399933,2687600,152.5381317
27-12-2017,153.1799927,152.6100006,152.9499969,153.1300049,2149300,151.6370239
26-12-2017,153.8600006,152.5,152.5099945,152.8300018,2479000,151.3399506
22-12-2017,153,151.5,151.8200073,152.5,2990600,151.0131531
21-12-2017,153.4600067,151.4900055,153.1699982,151.5,4153900,150.0229034
20-12-2017,153.8899994,152.7799988,153.6499939,152.9499969,3785700,151.4587708
19-12-2017,154.1699982,153.0899963,154.0500031,153.2299957,4116400,151.7360382
18-12-2017,154.1799927,153.2100067,153.5899963,153.3300018,5092800,151.8350677
15-12-2017,153.8000031,152.0299988,153.6100006,152.5,11279900,151.0131531
14-12-2017,155.1100006,153.6999969,154.6000061,154,4637400,152.4985352
13-12-2017,156.7299957,153.8899994,156.6000061,153.9100037,5661600,152.4094238
12-12-2017,157.8500061,155.1600037,157.3000031,156.7400055,6321800,155.2118225
11-12-2017,155.8899994,154.5700073,155.4600067,155.4100037,4102700,153.8947906
08-12-2017,155.0299988,153.5500031,154.9799957,154.8099976,3520300,153.3006287
07-12-2017,154.4499969,153.2599945,153.5899963,153.5700073,3771100,152.0727386
06-12-2017,156.2200012,154.0899963,154.1000061,154.1000061,3410700,152.5975647
05-12-2017,156.7400055,154.6799927,156.4499969,155.3500061,5068000,153.8353729
04-12-2017,156.8000031,155.0700073,155.9600067,156.4600067,4664300,154.9345551
01-12-2017,155.0200043,152.9100037,154.3999939,154.7599945,5567900,153.2511139
30-11-2017,154.4100037,153.0800018,153.6499939,153.9700012,6500800,152.4688263
29-11-2017,153.6100006,152.1699982,152.8099976,153.5500031,5098700,152.0529327
28-11-2017,152.9299927,151.6999969,152.3500061,152.4700012,3973700,150.9834595
27-11-2017,152.4900055,151.6199951,152.0599976,151.9799957,3374000,150.49823
24-11-2017,152.1999969,151.3300018,151.9499969,151.8399963,1193000,150.3595886
22-11-2017,152.3899994,151.3300018,152,151.7700043,3213600,150.2902832
21-11-2017,152.4499969,151.1999969,151.3000031,151.9499969,3756200,150.4685211
20-11-2017,151.9499969,149.8999939,150.6399994,150.5099945,5676500,149.0425568
17-11-2017,150.1499939,148.8300018,149.3399963,148.9700012,4916500,147.5175781
16-11-2017,149.6499939,147.5,147.7299957,149.1199951,5446500,147.6661072
15-11-2017,148.7100067,146.2100067,148,147.1000061,4773300,145.6658173
14-11-2017,148.9700012,147.4900055,147.9499969,148.8899994,3758000,147.4383545
13-11-2017,149,147.9199982,148.8800049,148.3999939,5107500,146.953125
10-11-2017,150.8899994,149.1399994,150.6499939,149.1600037,4307300,147.7057343
09-11-2017,151.8000031,149.8600006,149.9299927,150.3000031,4776500,148.83461
08-11-2017,151.7899933,150.2799988,151.6000061,151.5700073,4634400,148.6068573
07-11-2017,151.5099945,150.5,151.3699951,151.3500061,3701100,148.3911591
06-11-2017,151.8200073,150.2799988,151.7700043,150.8399963,4498400,147.8911285
03-11-2017,153.4700012,151.4900055,153.4199982,151.5800018,4431800,148.6166687
02-11-2017,154.4900055,152.9100037,154.1799927,153.3500061,3397600,150.352066
01-11-2017,154.8999939,153.8300018,154.1000061,154.0299988,3240200,151.0187683
31-10-2017,154.9299927,152.9299927,154.3300018,154.0599976,4328300,151.048172
30-10-2017,154.5899963,152.7100067,153.7599945,154.3600006,4210400,151.3423157
27-10-2017,154.6300049,152.9100037,154.5399933,153.6799927,4895200,150.6755981
26-10-2017,155.1199951,153.5399933,154.3099976,153.6000061,4300500,150.5971832
25-10-2017,156.3699951,153.0599976,156.0099945,153.5,6921100,150.499115
24-10-2017,159.6999969,155.1699982,159.6499939,155.8800049,8194700,152.8325958
23-10-2017,162.5099945,159.5399933,162.0500031,159.5500031,5779400,156.4308624
20-10-2017,162.4799957,159.7700043,161.0700073,162.0700073,7868800,158.9015808
19-10-2017,160.9600067,159.0899963,159.8000031,160.8999939,9914200,157.7544556
18-10-2017,161.2299957,156.9499969,157.1199951,159.5299988,30490200,156.4112396
17-10-2017,147.1199951,146.1799927,146.6300049,146.5399933,6372400,143.6751862
16-10-2017,147.6699982,146.5099945,147.2200012,146.8300018,3052100,143.9595184
13-10-2017,147.8500061,146.9400024,147.4799957,147.1000061,2506600,144.2242432
12-10-2017,147.8899994,146.7700043,147.5599976,147.0299988,3264300,144.1556091
11-10-2017,148.4700012,147.2799988,148.3999939,147.6199951,3702200,144.7340698
10-10-2017,148.9499969,147.6499939,147.7100067,148.5,4032600,145.5968628
09-10-2017,147.7899933,146.3500061,146.5,147.3899994,2682600,144.5085754
06-10-2017,146.8500061,146.3200073,146.6399994,146.4799957,2623200,143.6163483
05-10-2017,147.5399933,146.4799957,146.6799927,146.7200012,2686500,143.8516693
04-10-2017,147.0200043,146.1100006,147,146.4799957,2244400,143.6163483
03-10-2017,147.1999969,146.3399963,146.6900024,146.7799988,2302700,143.9104919
02-10-2017,146.8699951,145.2100067,145.3500061,146.6600037,2973200,143.7928467
29-09-2017,145.6900024,144.9199982,145.4499969,145.0800018,2654700,142.2437286
28-09-2017,145.8600006,144.2100067,145.6600037,145.6600037,2774800,142.8123932
